Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-13T14:44:31.924Z;Miguel;-27.384418;-56.842845;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:46:17.547Z;Mabel;-27.38543;-56.83902;;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:48:49.944Z;Mabel;-27.385525;-56.839178;;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:52:11.067Z;Miguel;-27.384038;-56.84241;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:53:26.201Z;Mabel;-27.385756;-56.839287;;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:56:18.901Z;Miguel;-27.384104;-56.841915;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:01:26.033Z;Mabel;-27.386382;-56.84;;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:01:41.464Z;Miguel;-27.384348;-56.841049;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:03:31.182Z;Mabel;-27.386357;-56.839989;;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:06:53.973Z;Mabel;-27.386653;-56.840248;;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:10:20.372Z;Mabel;-27.386767;-56.840136;N̼cleo 7;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:11:26.901Z;Miguel;-27.384928;-56.843794;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T15:15:00.562Z;Mabel;-27.386888;-56.839667;N̼cleo 7;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
